species;biomass;NumberAdults;TrapID;Exploratory;plot;PlotIDYear;month;year;Order;Suborder;Family;Genus;epitheton;subspecies;length;feeding_guild;LUI;replicate;Rep_ID
Adelphocoris seticornis;59.2352696;4;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;1.82;A;AEG01-KEFAug2008A
Eupteryx atropunctata;2.662795209;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Eupteryx;atropunctata;;3.6;h;1.82;A;AEG01-KEFAug2008A
Psammotettix alienus;3.738201942;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;alienus;;4.15;h;1.82;A;AEG01-KEFAug2008A
Pardosa palustris;20.32781641;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Araneae;Labidognatha;Lycosidae;Pardosa;palustris;;6;c;1.82;A;AEG01-KEFAug2008A
Sitona lepidus;7.296564365;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;lepidus;;5.25;h;1.82;A;AEG01-KEFAug2008A
Chorthippus parallelus;160.5841839;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.82;A;AEG01-KEFAug2008A
Macrosteles laevis;165.0933029;62;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.82;B;AEG01-KEFAug2008B
Trigonotylus caelestialium;368.7096465;44;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.82;B;AEG01-KEFAug2008B
Megadelphax sordidulus;11.21460583;3;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Megadelphax;sordidulus;;4.15;h;1.82;B;AEG01-KEFAug2008B
Neocrepidodera ferruginea;4.397949938;2;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Neocrepidodera;ferruginea;;3.25;h;1.82;B;AEG01-KEFAug2008B
Meligethes aeneus;0.737684157;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;1.82;B;AEG01-KEFAug2008B
Longitarsus pratensis;0.373683633;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;1.82;B;AEG01-KEFAug2008B
Errastunus ocellaris;17.94101034;8;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.82;B;AEG01-KEFAug2008B
Polymerus unifasciatus;226.2536467;27;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.82;B;AEG01-KEFAug2008B
Philaenus spumarius;56.2274304;6;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.82;B;AEG01-KEFAug2008B
Hypera arator;7.296564364;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Hypera;arator;;5.25;h;1.82;B;AEG01-KEFAug2008B
Javesella pellucida;10.30160377;4;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;1.82;B;AEG01-KEFAug2008B
Stenodema laevigata;19.37825854;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Stenodema;laevigata;;8.4;h;1.82;B;AEG01-KEFAug2008B
Adelphocoris seticornis;74.044087;5;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;1.82;B;AEG01-KEFAug2008B
Sitona lepidus;7.296564365;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;lepidus;;5.25;h;1.82;B;AEG01-KEFAug2008B
Arthaldeus pascuellus;7.469088555;3;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.82;B;AEG01-KEFAug2008B
Euscelis incisus;5.685377537;2;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Euscelis;incisus;;3.7;h;1.82;B;AEG01-KEFAug2008B
Evarcha arcuata;20.420084;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Araneae;Labidognatha;Salticidae;Evarcha;arcuata;;6.35;c;1.82;B;AEG01-KEFAug2008B
Agathidium marginatum;0.876614153;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Leiodidae;Agathidium;marginatum;;2.25;f;1.82;B;AEG01-KEFAug2008B
Psammotettix alienus;3.738201942;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Psammotettix;alienus;;4.15;h;1.82;B;AEG01-KEFAug2008B
Sitona sulcifrons;5.293515323;2;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;sulcifrons;;3.5;h;1.82;B;AEG01-KEFAug2008B
Chorthippus parallelus;321.1683679;2;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;1.82;B;AEG01-KEFAug2008B
Erigone dentipalpis;1.700491952;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Erigone;dentipalpis;;2.33;c;1.82;B;AEG01-KEFAug2008B
Microlinyphia pusilla;6.478964737;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Microlinyphia;pusilla;;3.88;c;1.82;B;AEG01-KEFAug2008B
Laodelphax striatellus;2.163586488;1;AEG01-KEFAug2008;ALB;AEG1;AEG1_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Laodelphax;striatellus;;3.3;h;1.82;B;AEG01-KEFAug2008B
Leptopterna dolabrata;565.0587024;30;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.82;A;AEG01-KEFJun2008A
Errastunus ocellaris;6.72787888;3;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.82;A;AEG01-KEFJun2008A
Mangora acalypha;19.19248877;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;1.82;A;AEG01-KEFJun2008A
Phylloneta impressa;8.227187378;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;1.82;A;AEG01-KEFJun2008A
Meligethes difficilis;0.876614152;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;difficilis;;2.25;h;1.82;A;AEG01-KEFJun2008A
Philaenus spumarius;18.7424768;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.82;A;AEG01-KEFJun2008A
Macrosteles laevis;26.62795209;10;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.82;A;AEG01-KEFJun2008A
Hemicrepidius hirtus;92.59368613;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Elateridae;Hemicrepidius;hirtus;;14.5;h;1.82;A;AEG01-KEFJun2008A
Polymerus unifasciatus;58.65835284;7;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.82;A;AEG01-KEFJun2008A
Arthaldeus pascuellus;7.469088555;3;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.82;A;AEG01-KEFJun2008A
Meioneta rurestris;22.4358303;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Linyphiidae;Meioneta;rurestris;;6.23;c;1.82;A;AEG01-KEFJun2008A
Aculepeira ceropegia;106.5296502;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Aculepeira;ceropegia;;11;c;1.82;A;AEG01-KEFJun2008A
Macrosteles cristatus;2.935206124;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;1.82;A;AEG01-KEFJun2008A
Araniella cucurbitina;16.47391128;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Araniella;cucurbitina;;5.5;c;1.82;A;AEG01-KEFJun2008A
Hemicrepidius niger;60.73350673;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Elateridae;Hemicrepidius;niger;;12.25;h;1.82;A;AEG01-KEFJun2008A
Stenotus binotatus;21.86793401;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Stenotus;binotatus;;6.6;h;1.82;A;AEG01-KEFJun2008A
Lygus rugulipennis;6.209775999;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Lygus;rugulipennis;;5.2;o;1.82;A;AEG01-KEFJun2008A
Trigonotylus caelestialium;16.75952939;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;1.82;A;AEG01-KEFJun2008A
Protapion assimile;1.389077261;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Apionidae;Protapion;assimile;;2.05;h;1.82;A;AEG01-KEFJun2008A
Eupteryx atropunctata;2.662795209;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Eupteryx;atropunctata;;3.6;h;1.82;A;AEG01-KEFJun2008A
Leptopterna dolabrata;866.4233436;46;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Leptopterna;dolabrata;;8.3;h;1.82;B;AEG01-KEFJun2008B
Macrosteles laevis;31.9535425;12;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;1.82;B;AEG01-KEFJun2008B
Megaloceroea recticornis;22.82535154;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Megaloceroea;recticornis;;9;h;1.82;B;AEG01-KEFJun2008B
Phylloneta impressa;24.68156213;3;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Theridiidae;Phylloneta;impressa;;4.25;c;1.82;B;AEG01-KEFJun2008B
Arthaldeus pascuellus;12.44848093;5;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;1.82;B;AEG01-KEFJun2008B
Polymerus unifasciatus;41.89882346;5;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;1.82;B;AEG01-KEFJun2008B
Philaenus spumarius;37.48495361;4;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;1.82;B;AEG01-KEFJun2008B
Macrosteles cristatus;5.870412247;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;1.82;B;AEG01-KEFJun2008B
Mangora acalypha;9.596244387;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Araneidae;Mangora;acalypha;;4.5;c;1.82;B;AEG01-KEFJun2008B
Hemicrepidius niger;182.2005202;3;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Elateridae;Hemicrepidius;niger;;12.25;h;1.82;B;AEG01-KEFJun2008B
Amblytylus nasutus;3.955675387;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Amblytylus;nasutus;;4.3;h;1.82;B;AEG01-KEFJun2008B
Stenotus binotatus;10.93396701;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Stenotus;binotatus;;6.6;h;1.82;B;AEG01-KEFJun2008B
Phyllotreta undulata;0.782399543;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Chrysomelidae;Phyllotreta;undulata;;2.15;h;1.82;B;AEG01-KEFJun2008B
Errastunus ocellaris;6.72787888;3;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Errastunus;ocellaris;;3.35;h;1.82;B;AEG01-KEFJun2008B
Pachygnatha degeeri;5.067163932;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Araneae;Labidognatha;Tetragnathidae;Pachygnatha;degeeri;;3.55;c;1.82;B;AEG01-KEFJun2008B
Phytoecia cylindrica;28.09056769;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Cerambycidae;Phytoecia;cylindrica;;9;h;1.82;B;AEG01-KEFJun2008B
Deltocephalus pulicaris;1.400386152;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;1.82;B;AEG01-KEFJun2008B
Pseudovadonia livida;41.84639529;2;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Coleoptera;Polyphaga;Cerambycidae;Pseudovadonia;livida;;8;o;1.82;B;AEG01-KEFJun2008B
Adelphocoris seticornis;14.8088174;1;AEG01-KEFJun2008;ALB;AEG1;AEG1_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;1.82;B;AEG01-KEFJun2008B
Macrosteles cristatus;187.8531919;64;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;0.95;A;AEG10-KEFAug2008A
Macrosteles laevis;1645.607439;618;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;0.95;A;AEG10-KEFAug2008A
Arthaldeus pascuellus;79.67027793;32;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;0.95;A;AEG10-KEFAug2008A
Deltocephalus pulicaris;40.6111984;29;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;0.95;A;AEG10-KEFAug2008A
Notostira erratica;106.9716499;7;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;0.95;A;AEG10-KEFAug2008A
Philaenus spumarius;18.74247681;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;0.95;A;AEG10-KEFAug2008A
Pachygnatha degeeri;15.2014918;3;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Araneae;Labidognatha;Tetragnathidae;Pachygnatha;degeeri;;3.55;c;0.95;A;AEG10-KEFAug2008A
Ischnopterapion virens;1.657406816;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Apionidae;Ischnopterapion;virens;;2.2;h;0.95;A;AEG10-KEFAug2008A
Longitarsus tabidus;2.646757662;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;tabidus;;3.5;h;0.95;A;AEG10-KEFAug2008A
Polymerus unifasciatus;33.51905877;4;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;0.95;A;AEG10-KEFAug2008A
Trigonotylus caelestialium;16.75952939;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;0.95;A;AEG10-KEFAug2008A
Longitarsus luridus;0.537274827;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;0.95;A;AEG10-KEFAug2008A
Javesella pellucida;7.726202832;3;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;0.95;A;AEG10-KEFAug2008A
Oulema melanopus;3.696170856;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Oulema;melanopus;;4;h;0.95;A;AEG10-KEFAug2008A
Longitarsus pratensis;0.747367266;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;pratensis;;1.6;h;0.95;A;AEG10-KEFAug2008A
Megasternum obscurum;0.612881572;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Hydrophilidae;Megasternum;obscurum;;1.95;o;0.95;A;AEG10-KEFAug2008A
Adelphocoris seticornis;14.8088174;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Adelphocoris;seticornis;;7.5;h;0.95;A;AEG10-KEFAug2008A
Macrosteles laevis;1754.782042;659;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;0.95;B;AEG10-KEFAug2008B
Deltocephalus pulicaris;42.01158456;30;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Deltocephalus;pulicaris;;2.75;h;0.95;B;AEG10-KEFAug2008B
Macrosteles cristatus;223.0756654;76;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;cristatus;;3.75;h;0.95;B;AEG10-KEFAug2008B
Sitona lepidus;14.59312873;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Curculionidae;Sitona;lepidus;;5.25;h;0.95;B;AEG10-KEFAug2008B
Arthaldeus pascuellus;57.26301227;23;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Cicadellidae;Arthaldeus;pascuellus;;3.5;h;0.95;B;AEG10-KEFAug2008B
Chorthippus parallelus;321.1683679;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Orthoptera;Caelifera;Acrididae;Chorthippus;parallelus;;18;h;0.95;B;AEG10-KEFAug2008B
Erigone atra;1.551582044;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Erigone;atra;;2.25;c;0.95;B;AEG10-KEFAug2008B
Longitarsus luridus;1.61182448;3;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Chrysomelidae;Longitarsus;luridus;;1.85;h;0.95;B;AEG10-KEFAug2008B
Meligethes aeneus;0.737684157;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Nitidulidae;Meligethes;aeneus;;2.1;h;0.95;B;AEG10-KEFAug2008B
Trigonotylus caelestialium;8.379764693;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Trigonotylus;caelestialium;;5.9;h;0.95;B;AEG10-KEFAug2008B
Javesella pellucida;5.150801888;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Fulgoromorpha;Delphacidae;Javesella;pellucida;;3.55;h;0.95;B;AEG10-KEFAug2008B
Philaenus spumarius;18.74247681;2;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;0.95;B;AEG10-KEFAug2008B
Megasternum obscurum;0.612881572;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Coleoptera;Polyphaga;Hydrophilidae;Megasternum;obscurum;;1.95;o;0.95;B;AEG10-KEFAug2008B
Notostira erratica;91.68998566;6;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Notostira;erratica;;7.6;h;0.95;B;AEG10-KEFAug2008B
Linyphia triangularis;20.32781641;1;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Araneae;Labidognatha;Linyphiidae;Linyphia;triangularis;;6;c;0.95;B;AEG10-KEFAug2008B
Polymerus unifasciatus;25.13929408;3;AEG10-KEFAug2008;ALB;AEG10;AEG10_2008;Aug;2008;Hemiptera;Heteroptera;Miridae;Polymerus;unifasciatus;;5.9;h;0.95;B;AEG10-KEFAug2008B
Macrosteles laevis;77.22106107;29;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Macrosteles;laevis;;3.6;h;0.95;A;AEG10-KEFJun2008A
Plagiognathus chrysanthemi;49.3014208;19;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Plagiognathus;chrysanthemi;;3.6;h;0.95;A;AEG10-KEFJun2008A
Horistus orientalis;122.0902415;14;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Heteroptera;Miridae;Horistus;orientalis;;6;h;0.95;A;AEG10-KEFJun2008A
Philaenus spumarius;9.371238401;1;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Aphrophoridae;Philaenus;spumarius;;6.1;h;0.95;A;AEG10-KEFJun2008A
Hardya tenuis;24.66888922;11;AEG10-KEFJun2008;ALB;AEG10;AEG10_2008;Jun;2008;Hemiptera;Cicadomorpha;Cicadellidae;Hardya;tenuis;;3.35;h;0.95;A;AEG10-KEFJun2008A
