species;biomass;count;year;plot;month;sampling;epitheton;genus;tribus;subfamily;family;order;class;length;feeding_guild;TrapID;replicate;Rep_ID
Scelionidae;1.416894724;1;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B4A02_Jul;A;2010_B4A02_JulA
Eupteryx notata;1.045868373;1;2010;B4A02;Jul;2010 main suction Jul 1 A;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Aphrodes bicinctus;9.18900153;1;2010;B4A02;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Trichosirocalus troglodytes;1.198828313;1;2010;B4A02;Jul;2010 main suction Jul 1 B;troglodytes;Trichosirocalus;NA;;Curculionidae;Coleoptera;Insecta;2.55;herbivore;2010_B4A02_Jul;A;2010_B4A02_JulA
Javesella pellucida;181.9087929;61;2010;B4A02;Jul;2010 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Longitarsus luridus;11.82004618;22;2010;B4A02;Jul;2010 main suction Jul 1 B;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Pteromalidae;16.55328519;1;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Ceraphronidae;0.483233523;2;2010;B4A02;Jul;2010 main suction Jul 1 A;;;NA;;Ceraphronidae;Hymenoptera;Insecta;2.05;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Aphrodes bicinctus;27.56700459;3;2010;B4A02;Jul;2010 main suction Jul 1 A;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Halticus apterus;6.131459325;5;2010;B4A02;Jul;2010 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Eulophidae;0.193553618;2;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Brassicogethes aeneus;1.475368313;2;2010;B4A02;Jul;2010 main suction Jul 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Lygus pratensis;10.64141951;1;2010;B4A02;Jul;2010 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Longitarsus pratensis;5.978938129;16;2010;B4A02;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Euscelis incisus;12.43723804;4;2010;B4A02;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Megadelphax sordidula;14.31609185;4;2010;B4A02;Jul;2010 main suction Jul 1 B;sordidula;Megadelphax;NA;;Delphacidae;Hemiptera;Insecta;4.075;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Eupteryx notata;3.13760512;3;2010;B4A02;Jul;2010 main suction Jul 1 B;notata;Eupteryx;NA;;Cicadellidae;Hemiptera;Insecta;2.433333333;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Pachygnatha degeeri;10.13432786;2;2010;B4A02;Jul;2010 main suction Jul 1 B;degeeri;Pachygnatha;NA;;Tetragnathidae;Araneae;Arachnida;3.55;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Alysiinae;1.810951427;2;2010;B4A02;Jul;2010 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Emelyanoviana mollicula;2.010424871;1;2010;B4A02;Jul;2010 main suction Jul 1 B;mollicula;Emelyanoviana;NA;;Cicadellidae;Hemiptera;Insecta;3.2;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Orius niger;0.662440064;1;2010;B4A02;Jul;2010 main suction Jul 1 B;niger;Orius;NA;;Anthocoridae;Hemiptera;Insecta;2.025;omnivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Eucoilidae;0.833235715;1;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Eucoilidae;Hymenoptera;Insecta;2.925;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Aphelinidae;0.170776276;2;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Aphelinidae;Hymenoptera;Insecta;1.375;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Ips transversa;0.652944126;1;2010;B4A02;Jul;2010 main suction Jul 1 B;transversa;Ips;NA;;Curculionidae;Coleoptera;Insecta;2;detritivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Trichosirocalus troglodytes;1.198828313;1;2010;B4A02;Jul;2010 main suction Jul 1 A;troglodytes;Trichosirocalus;NA;;Curculionidae;Coleoptera;Insecta;2.55;herbivore;2010_B4A02_Jul;B;2010_B4A02_JulB
Braconinae;5.087975514;1;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Encyrtidae;0.148035728;1;2010;B4A02;Jul;2010 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2010_B4A02_Jul;B;2010_B4A02_JulB
Alysiinae;2.716427141;3;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Aphidiinae;2.289558557;4;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Javesella pellucida;23.85689087;8;2010;B4A21;Jul;2010 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A21_Jul;A;2010_B4A21_JulA
Longitarsus luridus;1.61182448;3;2010;B4A21;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B4A21_Jul;A;2010_B4A21_JulA
Eulophidae;0.193553618;2;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Ichneumoninae;25.85526069;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Ichneumoninae;Ichneumonidae;Hymenoptera;Insecta;12.5;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Tetracampidae;0.518779667;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;;Tetracampidae;Hymenoptera;Insecta;2.5;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Anomalinae;27.10246109;1;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;Anomalinae;Ichneumonidae;Hymenoptera;Insecta;12.75;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Mymaridae;0.006147203;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;;Mymaridae;Hymenoptera;Insecta;0.575;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Eucoilidae;0.833235715;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;;Eucoilidae;Hymenoptera;Insecta;2.925;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Microgasterinae;0.572389639;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Microgasterinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Diapriidae;1.530433547;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;;Diapriidae;Hymenoptera;Insecta;3.85;predator;2010_B4A21_Jul;A;2010_B4A21_JulA
Aculepeira ceropegia;100.1343295;1;2010;B4A21;Jul;2010 main suction Jul 1 A;ceropegia;Aculepeira;NA;;Araneidae;Araneae;Arachnida;10.75;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Longitarsus pratensis;0.747367266;2;2010;B4A21;Jul;2010 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B4A21_Jul;B;2010_B4A21_JulB
Microgasterinae;0.572389639;1;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;Microgasterinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Longitarsus luridus;1.074549653;2;2010;B4A21;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B4A21_Jul;B;2010_B4A21_JulB
Javesella pellucida;23.85689087;8;2010;B4A21;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B4A21_Jul;B;2010_B4A21_JulB
Scelionidae;1.416894724;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;;Scelionidae;Hymenoptera;Insecta;3.75;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Doryctinae;33.9977236;2;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Doryctinae;Braconidae;Hymenoptera;Insecta;8.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Alysiinae;4.527378568;5;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Aphidiinae;1.717168918;3;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Aphidiinae;Braconidae;Hymenoptera;Insecta;2.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Eulophidae;0.096776809;1;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Braconinae;5.087975514;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Cenocoeliinae;9.925826255;1;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;Cenocoeliinae;Braconidae;Hymenoptera;Insecta;7;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Tetracampidae;0.518779667;1;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;;Tetracampidae;Hymenoptera;Insecta;2.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Encyrtidae;0.148035728;1;2010;B4A21;Jul;2010 main suction Jul 1 B;;;NA;;Encyrtidae;Hymenoptera;Insecta;1.65;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Ichneumoninae;25.85526069;1;2010;B4A21;Jul;2010 main suction Jul 1 A;;;NA;Ichneumoninae;Ichneumonidae;Hymenoptera;Insecta;12.5;predator;2010_B4A21_Jul;B;2010_B4A21_JulB
Euscelis incisus;3.109309509;1;2010;B4A21;Jul;2010 main suction Jul 1 A;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B4A21_Jul;B;2010_B4A21_JulB
Longitarsus pratensis;16.44207986;44;2010;B2A17;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Anaceratagallia ribauti;7.031868582;4;2010;B2A17;Jul;2010 main suction Jul 1 A;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Cortinicara gibbosa;0.244323227;1;2010;B2A17;Jul;2010 main suction Jul 1 B;gibbosa;Cortinicara;NA;;Latridiidae;Coleoptera;Insecta;1.35;detritivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Sitona suturalis;13.7002388;4;2010;B2A17;Jul;2010 main suction Jul 1 B;suturalis;Sitona;NA;;Curculionidae;Coleoptera;Insecta;3.88;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Euscelis incisus;3.109309509;1;2010;B2A17;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Lygus pratensis;31.92425853;3;2010;B2A17;Jul;2010 main suction Jul 1 B;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Hylesinus varius;0.373683633;1;2010;B2A17;Jul;2010 main suction Jul 1 B;varius;Hylesinus;NA;;Curculionidae;Coleoptera;Insecta;1.6;detritivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Aphrodes bicinctus;27.5670046;3;2010;B2A17;Jul;2010 main suction Jul 1 B;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Longitarsus luridus;0.537274827;1;2010;B2A17;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Brassicogethes aeneus;1.475368313;2;2010;B2A17;Jul;2010 main suction Jul 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Braconinae;5.087975514;1;2010;B2A17;Jul;2010 main suction Jul 1 B;;;NA;Braconinae;Braconidae;Hymenoptera;Insecta;5.5;predator;2010_B2A17_Jul;A;2010_B2A17_JulA
Araeoncus humilis;0.583767677;1;2010;B2A17;Jul;2010 main suction Jul 1 B;humilis;Araeoncus;NA;;Linyphiidae;Araneae;Arachnida;1.55;predator;2010_B2A17_Jul;A;2010_B2A17_JulA
Javesella pellucida;2.982111359;1;2010;B2A17;Jul;2010 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Halticus apterus;1.226291865;1;2010;B2A17;Jul;2010 main suction Jul 1 B;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Alysiinae;0.905475714;1;2010;B2A17;Jul;2010 main suction Jul 1 B;;;NA;Alysiinae;Braconidae;Hymenoptera;Insecta;2.95;predator;2010_B2A17_Jul;A;2010_B2A17_JulA
Bembidion lampros;2.553204239;1;2010;B2A17;Jul;2010 main suction Jul 1 B;lampros;Bembidion;NA;;Carabidae;Coleoptera;Insecta;3.45;predator;2010_B2A17_Jul;A;2010_B2A17_JulA
Eulophidae;0.096776809;1;2010;B2A17;Jul;2010 main suction Jul 1 B;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B2A17_Jul;A;2010_B2A17_JulA
Ips transversa;0.652944126;1;2010;B2A17;Jul;2010 main suction Jul 1 B;transversa;Ips;NA;;Curculionidae;Coleoptera;Insecta;2;detritivore;2010_B2A17_Jul;A;2010_B2A17_JulA
Longitarsus pratensis;11.21050899;30;2010;B2A17;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Longitarsus luridus;0.537274827;1;2010;B2A17;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Halticus apterus;1.226291865;1;2010;B2A17;Jul;2010 main suction Jul 1 A;apterus;Halticus;NA;;Miridae;Hemiptera;Insecta;2.625;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Aphrodes bicinctus;18.37800306;2;2010;B2A17;Jul;2010 main suction Jul 1 A;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Ips transversa;1.958832378;3;2010;B2A17;Jul;2010 main suction Jul 1 B;transversa;Ips;NA;;Curculionidae;Coleoptera;Insecta;2;detritivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Anaceratagallia ribauti;3.515934291;2;2010;B2A17;Jul;2010 main suction Jul 1 B;ribauti;Anaceratagallia;NA;;Cicadellidae;Hemiptera;Insecta;3.025;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Sitona hispidulus;3.696170856;1;2010;B2A17;Jul;2010 main suction Jul 1 A;hispidulus;Sitona;NA;;Curculionidae;Coleoptera;Insecta;4;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Ceraphronidae;0.241616762;1;2010;B2A17;Jul;2010 main suction Jul 1 B;;;NA;;Ceraphronidae;Hymenoptera;Insecta;2.05;predator;2010_B2A17_Jul;B;2010_B2A17_JulB
Inostemma;0.072090998;1;2010;B2A17;Jul;2010 main suction Jul 1 B;;Inostemma;NA;;Platygastridae;Hymenoptera;Insecta;1.3;predator;2010_B2A17_Jul;B;2010_B2A17_JulB
Cortinicara gibbosa;0.244323227;1;2010;B2A17;Jul;2010 main suction Jul 1 B;gibbosa;Cortinicara;NA;;Latridiidae;Coleoptera;Insecta;1.35;detritivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Javesella pellucida;2.982111359;1;2010;B2A17;Jul;2010 main suction Jul 1 A;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Cryptinae;17.07691208;1;2010;B2A17;Jul;2010 main suction Jul 1 A;;;NA;Cryptinae;Ichneumonidae;Hymenoptera;Insecta;10.5;predator;2010_B2A17_Jul;B;2010_B2A17_JulB
Lygus pratensis;31.92425853;3;2010;B2A17;Jul;2010 main suction Jul 1 A;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Sitona suturalis;6.8501194;2;2010;B2A17;Jul;2010 main suction Jul 1 A;suturalis;Sitona;NA;;Curculionidae;Coleoptera;Insecta;3.88;herbivore;2010_B2A17_Jul;B;2010_B2A17_JulB
Hahnia nava;0.75422594;1;2010;B2A17;Jul;2010 main suction Jul 1 A;nava;Hahnia;NA;;Hahniidae;Araneae;Arachnida;1.75;predator;2010_B2A17_Jul;B;2010_B2A17_JulB
Bathyphantes gracilis;1.009602744;1;2010;B3A11;Jul;2010 main suction Jul 1 B;gracilis;Bathyphantes;NA;;Linyphiidae;Araneae;Arachnida;1.91;predator;2010_B3A11_Jul;A;2010_B3A11_JulA
Plagiognathus chrysanthemi;2.594811621;1;2010;B3A11;Jul;2010 main suction Jul 1 A;chrysanthemi;Plagiognathus;NA;;Miridae;Hemiptera;Insecta;3.6;omnivore;2010_B3A11_Jul;A;2010_B3A11_JulA
Longitarsus pratensis;1.121050899;3;2010;B3A11;Jul;2010 main suction Jul 1 B;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B3A11_Jul;A;2010_B3A11_JulA
Javesella pellucida;8.946334077;3;2010;B3A11;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B3A11_Jul;A;2010_B3A11_JulA
Lygus pratensis;10.64141951;1;2010;B3A11;Jul;2010 main suction Jul 1 A;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B3A11_Jul;A;2010_B3A11_JulA
Pteromalidae;16.55328519;1;2010;B3A11;Jul;2010 main suction Jul 1 A;;;NA;;Pteromalidae;Hymenoptera;Insecta;7.875;predator;2010_B3A11_Jul;A;2010_B3A11_JulA
Adelphocoris lineolatus;19.51539722;1;2010;B3A11;Jul;2010 main suction Jul 1 A;lineolatus;Adelphocoris;NA;;Miridae;Hemiptera;Insecta;8.425;herbivore;2010_B3A11_Jul;B;2010_B3A11_JulB
Javesella pellucida;17.89266815;6;2010;B3A11;Jul;2010 main suction Jul 1 B;pellucida;Javesella;NA;;Delphacidae;Hemiptera;Insecta;3.775;herbivore;2010_B3A11_Jul;B;2010_B3A11_JulB
Brassicogethes aeneus;1.475368313;2;2010;B3A11;Jul;2010 main suction Jul 1 B;aeneus;Brassicogethes;NA;;Nitidulidae;Coleoptera;Insecta;2.1;herbivore;2010_B3A11_Jul;B;2010_B3A11_JulB
Euscelis incisus;9.327928527;3;2010;B3A11;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B3A11_Jul;B;2010_B3A11_JulB
Psammotettix helvolus;1.863755772;1;2010;B3A11;Jul;2010 main suction Jul 1 A;helvolus;Psammotettix;NA;;Cicadellidae;Hemiptera;Insecta;3.1;herbivore;2010_B3A11_Jul;B;2010_B3A11_JulB
Aphrodes bicinctus;9.189001532;1;2010;B3A11;Jul;2010 main suction Jul 1 A;bicinctus;Aphrodes;NA;;Cicadellidae;Hemiptera;Insecta;6.05;herbivore;2010_B3A11_Jul;B;2010_B3A11_JulB
Longitarsus pratensis;23.16838525;62;2010;B2A13;Jul;2010 main suction Jul 1 A;pratensis;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.6;herbivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Lygus pratensis;53.20709756;5;2010;B2A13;Jul;2010 main suction Jul 1 A;pratensis;Lygus;NA;;Miridae;Hemiptera;Insecta;6.525;herbivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Orius niger;0.662440064;1;2010;B2A13;Jul;2010 main suction Jul 1 A;niger;Orius;NA;;Anthocoridae;Hemiptera;Insecta;2.025;omnivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Euscelis incisus;15.54654754;5;2010;B2A13;Jul;2010 main suction Jul 1 B;incisus;Euscelis;NA;;Cicadellidae;Hemiptera;Insecta;3.841666667;herbivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Plagiognathus chrysanthemi;5.189623245;2;2010;B2A13;Jul;2010 main suction Jul 1 A;chrysanthemi;Plagiognathus;NA;;Miridae;Hemiptera;Insecta;3.6;omnivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Erigone atra;1.624981684;1;2010;B2A13;Jul;2010 main suction Jul 1 B;atra;Erigone;NA;;Linyphiidae;Araneae;Arachnida;2.29;predator;2010_B2A13_Jul;A;2010_B2A13_JulA
Tetracampidae;0.518779667;1;2010;B2A13;Jul;2010 main suction Jul 1 B;;;NA;;Tetracampidae;Hymenoptera;Insecta;2.5;predator;2010_B2A13_Jul;A;2010_B2A13_JulA
Longitarsus melanocephalus;1.234414131;1;2010;B2A13;Jul;2010 main suction Jul 1 B;melanocephalus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;2.58;herbivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Propylaea quatuordecimpunctata;4.126310269;1;2010;B2A13;Jul;2010 main suction Jul 1 B;quatuordecimpunctata;Propylaea;NA;;Coccinellidae;Coleoptera;Insecta;4.18;predator;2010_B2A13_Jul;A;2010_B2A13_JulA
Longitarsus luridus;0.537274827;1;2010;B2A13;Jul;2010 main suction Jul 1 A;luridus;Longitarsus;NA;;Chrysomelidae;Coleoptera;Insecta;1.85;herbivore;2010_B2A13_Jul;A;2010_B2A13_JulA
Eulophidae;0.096776809;1;2010;B2A13;Jul;2010 main suction Jul 1 A;;;NA;;Eulophidae;Hymenoptera;Insecta;1.5;predator;2010_B2A13_Jul;A;2010_B2A13_JulA
